cluster,n_cells,top10_genes,assigned_type,score,margin,manual_override,best_scoring_type,runner_up,expr_pct,n_sig_de,markers_in_top50,state_vetoed,resolution,low_confidence
1,19796,FGF4;FGF19;FBXL8;CCDC78;CFAP157;PLIN5;DNASE1L2;BICDL2;AZU1;SMIM38,Tumour epithelial,0.6755,0.221,,Tumour epithelial,Mast,0.8291,9668,,,,True
2,16784,MSMB;TSPAN8;PKIB;SERPINA6;TFF3;PRR15;C15orf48;TFPI2;SERPINA1;NQO1,Tumour epithelial,0.8583,0.3391,,Tumour epithelial,Proliferating tumour,0.8436,14034,,,,False
3,15057,ADAM33;ABCA6;ABCA10;RIPOR3;ABCA9;COL6A6;THBS2;FREM1;FGF7;PLEKHH2,Fibroblast,0.9669,0.4319,,Fibroblast,Mast,0.947,13285,,,,False
4,9385,SFRP4;C3;SRPX;OGN;MFAP4;PTGIS;MMP2;EFEMP1;IGF2;C1S,Fibroblast,0.9862,0.2998,,Fibroblast,Plasma cell,0.9597,4389,LUM,,,False
5,8624,BTNL9;VWF;TIE1;PLVAP;ROBO4;PDE2A;SHANK3;ARHGEF15;HOXD9;CDH5,Endothelial,0.9995,0.0553,,Endothelial,Perivascular,0.999,9798,CDH5;PECAM1;VWF,,,False
6,8285,GABRP;KRT23;LTF;KLK5;PROM1;TTYH1;KRT15;LCN2;CCL28;SCGB2A2,Myoepithelial,0.9931,0.4781,,Myoepithelial,Tumour epithelial,0.7984,4223,KRT5,,,False
7,8028,TSPAN8;MSMB;SERPINA6;PKIB;GLRA3;SCNN1B;NEURL1;SCD5;AZGP1;C15orf48,Tumour epithelial,0.8077,0.5635,,Tumour epithelial,B cell,0.8316,10078,,,,False
8,7353,SHROOM1;TMEM64;NAT1;STMND1;DEFB1;CRABP2;DAPL1;FRAS1;SMPD3;NECAB1,Tumour epithelial,0.8685,0.6612,,Tumour epithelial,B cell,0.8419,9908,,Proliferating tumour,,False
9,7219,ANKRD30A;CLIC6;CACNG4;HSPB8;PIP;CYP2B6;NIBAN1;BMPR1B;ABLIM3;PRKACB,Tumour epithelial,0.6043,0.1524,,Tumour epithelial,Mast,0.8504,8138,,,,True
10,6928,GRIA2;SERPINA6;CHAD;GLRA3;TSPAN8;SCNN1B;NPY1R;MS4A8;TFCP2L1;PLPPR3,Tumour epithelial,0.7533,0.541,,Tumour epithelial,B cell,0.8287,1996,,,,False
11,6146,ITK;TRAC;CD3E;ZAP70;TRBC1;TBC1D10C;CD2;TRBC2;ACAP1;TMC8,T cell,0.9996,0.0024,,T cell,NK,0.9951,11432,CD2;CD3D;CD3E;TRBC2,,,True
12,5809,HSPB8;CACNG4;NIBAN1;PRKACB;CLIC6;LYPD3;S100A16;PIP;VTCN1;S100G,Tumour epithelial,0.7717,0.1595,,Tumour epithelial,Myoepithelial,0.848,10714,,Proliferating tumour,,False
13,5296,C1QTNF1;RGS5;GJA4;RERGL;CDH6;MCAM;AOC3;ATP1B2;HIGD1B;AVPR1A,Perivascular,0.9977,0.0013,,Perivascular,Endothelial,0.9981,2306,RGS5,,,True
14,5147,C1R;GEM;VCAN;EMILIN1;PLEKHH2;ADAMTS1;ABCA9;RIPOR2;TMEM176A;FAM20A,Tumour epithelial,0.8064,0.2568,,Tumour epithelial,Proliferating tumour,0.8333,88,,,,False
15,4008,ITGAX;CD1C;MMP9;HLA-DQB1;CLEC10A;WDFY4;FCER1A;IRF8;SPI1;CIITA,Dendritic cell,0.9998,0.0041,,Dendritic cell,Macrophage,0.9963,3990,CD1C;CLEC10A;FCER1A;ITGAX,,,True
16,4001,MMP11;POSTN;THBS4;COL10A1;COL3A1;COL1A2;CILP;COL5A1;COMP;COL8A1,Fibroblast,0.9902,0.0439,,Fibroblast,Perivascular,0.9555,3254,COL1A1;LUM,,,True
17,3915,ADGRD2;OVCH2;OR5P2;LGR6;AMIGO2;TESC;STAC2;TP63;NTF4;CCDC8,Myoepithelial,0.997,0.5603,,Myoepithelial,Mast,0.8921,8223,KRT14;TP63,,,False
18,2791,ITGA7;LGI4;CACNA1H;GJC1;COL5A3;RERGL;MCAM;ATP1B2;FAM162B;CCL19,Perivascular,0.9977,0.0223,,Perivascular,Endothelial,0.9974,5520,NOTCH3;RGS5,,,True
19,2547,C1QTNF4;CXCL14;PDE1A;MFAP4;DPT;SFRP4;F2RL2;AKAP12;MMP11;LUM,Fibroblast,0.9792,0.1362,,Fibroblast,Plasma cell,0.9382,163,LUM,,,False
20,2512,IGHG4;CPA3;CMA1;CTSG;IGHA2;IGHA1;IGKC;IGLC7;IGHM;IGHG1,Mixed (plasma+mast),0.9993,0.0017,,Plasma cell,T cell,0.9993,635,IGHG1;JCHAIN;MZB1,,"markers of 2 types (Plasma cell, Mast) in the top 10 DE genes",True
21,2462,IQGAP3;RAD54L;TROAP;GTSE1;POLQ;WDR62;KIF18B;NUSAP1;ESPL1;E2F2,Proliferating tumour,0.998,0.4237,,Proliferating tumour,Tumour epithelial,0.9847,3853,MKI67;NUSAP1;TOP2A,,,False
22,2389,(no significant DE genes),Unassigned,0.9982,0.0625,,Mast,Perivascular,0.6037,0,,,no significant DE genes,True
23,2374,MKI67;CENPF;PLK1;TOP2A;CEP55;CDCA5;H3C2;CCNB2;H1-5;KIF20A,Proliferating tumour,0.9998,0.2516,,Proliferating tumour,Tumour epithelial,0.9836,8181,CENPF;MKI67;NUSAP1;PLK1;TOP2A,,,False
